#{"t_start": 1656588824.99772, "env_id": "MountainCarContinuous-v0"}
r,l,t
-0.042412,999,1.959765
-0.042287,999,2.223694
-0.003584,999,4.326324
-0.00234,999,4.594168
-0.009214,999,6.708501
-0.009373,999,6.951892
-0.000375,999,8.991468
-0.000335,999,9.235315
-0.007212,999,11.230916
-0.007807,999,11.472837
-0.028764,999,13.407318
-0.028983,999,13.649403
-0.03425,999,15.603955
-0.033844,999,15.844869
-0.018062,999,17.753213
-0.017999,999,17.995105
-0.055107,999,19.948426
-0.058934,999,20.191699
-0.010476,999,22.104352
-0.01023,999,22.347454
